CSV File Name,High Severity Count,Medium Severity Count,Low Severity Count,High Confidence Count,Medium Confidence Count,Low Confidence Count,Unique CWEs,Unique CWE Count
Commits\Commit_1.csv,9,641,2855,2715,505,285,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_10.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_100.csv,9,642,2856,2716,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_11.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_12.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_13.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_14.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_15.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_16.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_17.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_18.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_19.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_2.csv,9,642,2855,2715,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_20.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_21.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_22.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_23.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
Commits\Commit_24.csv,9,642,2854,2714,505,286,"https://cwe.mitre.org/data/definitions/78.html, https://cwe.mitre.org/data/definitions/703.html, https://cwe.mitre.org/data/definitions/259.html, https://cwe.mitre.org/data/definitions/502.html, https://cwe.mitre.org/data/definitions/330.html, https://cwe.mitre.org/data/definitions/400.html, https://cwe.mitre.org/data/definitions/22.html, https://cwe.mitre.org/data/definitions/377.html, https://cwe.mitre.org/data/definitions/89.html, https://cwe.mitre.org/data/definitions/20.html",10
